"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"CUI_PURCHASE_URL";"DESCRIPTION";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SPICEPREFIX";"TP_SIGNAL_NAME";"URL";"VALUE";"VENDOR";
"+5V";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"12";"";"";"";"";"";"";"";
"-5V";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"12";"";"";"";"";"";"";"";
"1V8";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"12";"";"";"";"";"";"";"";
"3V3";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"12";"";"";"";"";"";"";"";
"C1";"10pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C2";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C3";"1.2nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C4";"8.2nF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"24";"";"";"C";"";"";"";"";
"C5";"10uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"C";"";"";"";"";
"C6";"47uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"C";"";"";"";"";
"C7";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C8";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C9";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C10";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C11";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C12";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C13";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C14";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C15";"47uF";"CGA9N3X7R1_CGA9N3X7R1C476M230KB";"CGA9N3X7R1_CAP_5750";"";"";"";"";"";"CGA9N3X7R1C476M230KB";"";"";"";"";"";"";"";"";"";"";"";"";"";"TDK";
"C16";"22uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"C";"";"";"";"";
"C17";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C18";"2.2uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C19";"";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C20";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C21";"33pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";"";
"C22";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C23";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C24";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C25";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C26";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C27";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C28";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C29";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C30";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C31";"10uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
